id,nombre,edad,descripcion,tamaño,inserted_at,updated_at
d40c2bbc-f670-4da9-acf3-95ef31a99d8c,Zara,27,Other nervous system ops,36,2022-11-08 06:11:30,2022-04-13 20:43:15
c55c80e2-b03d-492a-adcd-0a7135c84d51,Man,29,Transpleura thoracoscopy,26,2022-04-15 07:50:00,2022-09-01 11:08:25
e3f473f6-69cb-4395-b408-3113a459e4c7,Hyacinthe,16,Excision of joint NEC,31,2022-06-27 01:01:19,2022-07-05 11:06:26
b23c59b1-55bb-47fd-ae34-d6e1ccad76c3,Brietta,16,Aorta resection & anast,32,2022-06-03 20:55:12,2022-07-18 23:58:22
c3318608-0954-4694-9471-edc197df5f07,Ileana,20,Cl red-int fix tib/fibu,4,2022-09-03 08:56:15,2022-08-09 15:18:40
7d0a9a22-8568-43eb-a719-97b0efa7a248,Harriette,21,Open renal biopsy,21,2022-05-17 09:43:52,2022-10-05 05:05:07
481c7689-19d2-409d-abc2-7c3e192c7365,Belle,7,Lac canaliculi probe,27,2022-10-23 22:06:10,2022-07-07 04:40:33
1dcfca6a-3eef-403e-beb5-8b58c29230e3,Goldi,11,Closed gastric biopsy,20,2022-09-22 19:04:11,2022-09-30 21:24:39
7747b386-c59f-44a2-a915-f608de669c09,Timothea,3,Bladder repair NEC,27,2022-06-13 12:10:29,2022-08-22 14:30:12
49b7f57a-fbe8-46bc-a7f9-c6705b55b201,Bert,4,Culture-endocrine,22,2023-01-09 22:50:40,2022-03-30 23:19:58
626642b3-148a-43b6-a050-636c9ea02efb,Maitilde,2,Retrobulbar injection,31,2022-04-15 08:57:06,2022-11-29 01:09:41
3b356851-41d9-443e-baa8-8ee436daaf7a,Darryl,7,Proctoclysis,14,2022-04-20 07:51:45,2022-03-29 12:06:25
c5d2a420-6180-490c-ae51-0c76d4db2abf,Micheal,15,Div soft tissue hand NEC,13,2022-09-18 07:41:23,2022-07-23 18:42:21
db2e47de-282b-42b8-bd79-9c93bdbf66e2,Krisha,6,"Endo emb hd/nk,bare coil",24,2022-10-31 05:36:05,2022-05-13 15:02:41
2d5737a3-4373-4548-a12f-7f8749b7d2c9,Shandie,20,Impl cardiac support dev,8,2022-11-21 00:51:06,2022-04-10 19:54:08
983fddbc-0c48-4f9e-8cd4-7be3d68cd570,Nonnah,28,Removal scrotal/penis FB,23,2022-11-06 01:12:33,2022-07-16 15:05:24
65423efb-85cd-44b7-aca5-21001b52daa5,Emily,30,Tracheal injection,12,2022-04-20 05:34:03,2022-06-06 21:42:17
52bde1f3-3472-4c92-9fed-44bf68cdf30f,Federico,3,Female genital x-ray NEC,31,2022-06-13 13:03:37,2022-11-16 02:14:11
c5b009ba-c9b7-41d2-a45e-ec90d37e2493,Timmy,4,Electrocardiogram,16,2022-09-28 08:44:32,2022-07-23 08:49:02
