id,importe,tipo,descripcion,animal_id,inserted_at,updated_at
09ce1331-0df2-4934-847b-4ac2ab309b50,36,Exotropia,"Insertion of Radioact Elem into Abd Wall, Perc Endo Approach",c55c80e2-b03d-492a-adcd-0a7135c84d51,2023-01-18 09:44:34,2022-06-30 23:05:17
4cb53f87-81bd-4c46-a5e6-428165c3e7ed,32,Inj intrinsic musc/fasc/tend finger at wrist and hand level,"Muscles, Resection",45908d88-f429-40b2-b086-b0c022f7f98d,2022-11-14 19:19:34,2022-11-29 18:31:25
8e0e78b0-6e5a-4d38-b95d-b41b3f28f077,77,Postradiation scoliosis,"Drainage of L Com Iliac Art, Perc Endo Approach, Diagn",97c24958-91c5-4c3c-9fcf-915dca6472f4,2023-01-03 23:25:13,2022-11-11 22:33:11
b8afa287-0d59-4b4b-ae70-84614aed9fce,10,Nondisplaced avulsion fracture of tuberosity of l calcaneus,"Bypass Esophag to Stomach with Autol Sub, Perc Endo Approach",e5ac9f42-5ab9-4578-af3f-4f3e0bbea8c9,2022-12-31 14:50:58,2022-10-01 01:44:52
78ad1272-8ea7-47e3-a349-054d8bac7b3c,98,"Wedge comprsn fx fifth lum vertebra, init for opn fx","Fluoroscopy R Com Carotid w L Osm Contrast, Laser Intraop",6590a080-f521-4da1-9917-d51088d37e2e,2022-03-30 22:28:46,2022-04-23 04:31:04
8049a397-b186-4478-a2c1-6e5545df6fb1,73,"Contact with knife, undetermined intent","Repair Left Fibula, Percutaneous Endoscopic Approach",b9c76104-74e2-4d74-8d69-d5a55bd19d76,2023-01-02 03:38:25,2022-09-21 00:29:47
1b509d22-692b-4635-abd3-085a27237f0f,10,"Nondisp unsp condyle fx low end r femr, 7thJ","Ultrasonography of Left Jugular Veins, Intravascular",40d3a295-95a6-477c-a6f5-85b2071ff402,2023-02-28 21:01:54,2022-09-26 18:52:05
c1025f57-5299-48d9-8269-6eea97d24812,89,"Corrosion of first degree of left foot, sequela","Supplement Right Ankle Joint with Synth Sub, Open Approach",d8f35c97-466d-4fd2-ac4c-610eaabeb54f,2022-07-20 03:51:08,2022-05-12 16:03:15
ee0e79e9-7124-473c-b9bb-c250e214fa7d,84,"Papyraceous fetus, unspecified trimester, fetus 4",Fluoroscopy of Left Hip using Other Contrast,9394f56e-d4c0-4f3e-9384-6c638339e9fe,2022-07-31 18:01:27,2022-03-14 02:07:03
e988c373-9d07-4789-9912-2f9034d8b8c5,46,"Unsp fracture of lower end of unsp tibia, init for clos fx","Occlusion of Pancreatic Duct, Percutaneous Approach",0a4910ef-82bb-4f11-b131-43d230b7af6c,2022-08-22 02:35:15,2022-06-09 19:37:26
9f9f2090-60ac-4474-ba2a-dc6b88ec00b3,73,"Laceration of other blood vessels at forearm level, left arm","Revision of Drainage Device in R Up Extrem, Open Approach",45908d88-f429-40b2-b086-b0c022f7f98d,2022-07-01 06:44:16,2023-01-06 16:47:49
6dd222a1-fc30-4edc-a8f5-3749812ead0e,90,Burns of 30-39% of body surface w 30-39% third degree burns,"Bypass L Pleural Cav to Pelvic Cav w Synth Sub, Open",b334acf3-8bab-49a7-9fe6-219b3d2d905b,2022-03-16 03:14:41,2022-11-09 06:10:21
c3c97c4f-1f25-4034-b796-c6eea32c5dcf,26,"Spinal instabilities, cervical region","Drainage of Right Femoral Region, Open Approach",acc7e543-9c40-48d7-a101-9c57dd6a11aa,2022-12-29 10:15:32,2022-07-07 12:53:50
2fa3d229-f0ab-42d2-9e5a-454b511823a6,37,Accidental malfunction of shotgun,"Restrict Azygos Vein w Extralum Dev, Perc Endo",79f1c0f2-1336-49de-950c-834c1512ad0b,2022-04-28 10:49:38,2022-05-14 00:22:01
5b38393e-b96a-4086-b301-797bf2749bfa,64,"Displ unsp condyle fx low end unsp femr, 7thB","Removal of Radioactive Element from R Lung, Perc Approach",d7744a7d-b29c-421f-b322-1b04844d0e82,2022-09-30 06:29:04,2022-09-20 00:53:09
b07dba11-c426-4e0f-a9bc-546c66c76131,15,"Other superficial bite of left ring finger, sequela","Drainage of Left Femoral Shaft with Drain Dev, Perc Approach",c3318608-0954-4694-9471-edc197df5f07,2022-10-24 10:53:26,2022-08-06 00:42:19
ebf1fbd8-862d-463d-afd9-febaf0cd5ca9,1,"Corrosion of second degree of right palm, sequela","Reposition Right Diaphragm, Open Approach",e0ac3405-c8f3-40a1-96df-cdc2243326f6,2022-12-06 20:03:46,2022-11-19 07:07:20
03bd9b8e-b864-4879-a2c2-f8915bcfa9dd,84,Abrasion of left wrist,"Restriction of Right Upper Lobe Bronchus, Perc Endo Approach",582d71c0-a256-45d7-96e8-d992fe2d9670,2023-03-01 17:31:31,2022-06-23 19:04:37
ee8ece50-723c-472e-9d79-5a019ab830a5,75,"Toxic effect of chlorine gas, accidental, subs","Destruction of Thoracic Aorta, Ascending/Arch, Open Approach",926e7e9e-5e75-4982-9ee3-5fcab23536b9,2022-04-17 05:52:53,2022-11-24 03:25:26
e86e9029-a7be-451e-851e-db250da714ca,29,"Malignant melanoma of right lower limb, including hip","Restriction of Left Internal Iliac Artery, Open Approach",fdf603f7-3285-457b-99f2-75b1f3290c9f,2022-06-21 08:08:30,2022-04-27 14:57:54
4971e62b-62f2-4d97-9055-8d7f9ec5a1cb,91,"Preterm labor second tri w preterm del third tri, fetus 5","Revision of Drain Dev in R Pleural Cav, Perc Endo Approach",b217ab10-4fa5-4ea7-abbd-445907dc77ac,2022-06-12 06:36:52,2022-03-11 18:59:23
6db556fd-efdd-4010-b036-264be175bb28,59,"Coccidioidomycosis, unspecified","Removal of Int Fix from R Wrist Jt, Extern Approach",530d920c-21f3-4994-9729-4f87fbcd9290,2022-09-11 03:00:09,2023-01-07 04:46:55
ec40019f-1f11-4dc4-99ea-a36951b5cc90,47,"Corrosion of first degree of female genital region, sequela","Extirpation of Matter from L Metatarsophal Jt, Open Approach",3f03ec31-a784-41bd-9140-204ec3e2d401,2023-02-15 06:39:10,2022-11-08 07:09:30
